亜	⠠⠁⠃	⠃⠊
哀	⠨⠁⠄	⣁⡞
愛	⠨⠁⠪	⣁⠊
挨	⠨⠁⠟	⣳⡘
握	⠲⠁⠇	⡷⣘
悪	⠲⠁⠄	⠃⢬
圧	⠢⠁⠗	⡱⡺
扱	⠠⠩⠁	⡷⡌
宛	⠠⠋⠉	⢁⠚
安	⠸⠁⠔	⠓⣚
暗	⠸⠁⠩	⣳⣪
案	⠸⠁⠣	⣓⢎
闇		⣵⣪
以	⠠⠃⠇	⠑⣼
位	⠠⠃⠩	⡃⣪
依	⠨⠃⠇	⡗⡊
偉	⠠⠃⠋	⡃⠎
囲	⠠⠃⠡	⣥⠈
委	⠠⠃⠊	⡕⣚
威	⠨⠃⠊	⣇⣚
尉	⠨⠃⠄	⡵⡞
意	⠠⠃⠪	⠃⡊
慰	⠠⠃⠅	⡵⢬
易	⠠⠃⠔	⣳⢨
椅	⠠⠃⠣	⢥⢞
為	⠠⠃⠄	⣁⣸
畏	⠠⠃⠕	⡣⡞
異	⠠⠃⠎	⡣⢜
移	⠠⠃⠉	⡕⣜
維	⠠⠃⠃	⠇⠎
緯	⠨⠃⠃	⡅⠎
胃	⠠⠃⠙	⡣⢌
萎	⠨⠃⠩	⢓⣚
衣	⠨⠃⠪	⡗⠊
違	⠠⠃⠗	⣇⠎
遺	⠨⠃⠥	⣇⢎
医	⠠⠃⠥	⣵⡘
井	⠰⠻⠃	⠡⠎
域	⠲⠒⠗	⡳⠘
育	⠲⠃⠺	⣁⠪
一	⠐⠼⠁	⢡⠊
壱	⠢⠒⠑	⠳⠊
逸	⠢⠃⠥	⣃⠬
稲	⠠⠏⠃	⡕⠘
茨	⠢⠍⠩	⢥⣨
芋	⠠⠉⠃	⢥⢊
印	⠸⠃⠳	⠑⢪
咽	⠖⠸⠃⠚	⠷⣤⢞
員	⠸⠃⠚	⡡⠾
因	⠸⠃⠇	⣥⢞
姻	⠸⠃⠊	⣓⢞
引	⠸⠃⠧	⣑⠘
飲	⠸⠃⠎	⣡⢾
淫	⠸⠃⠱	⢱⡎
院	⠸⠃⠍	⢣⠬
陰	⠸⠃⠡	⢣⡬
隠	⠸⠃⠩	⢣⠺
韻	⠸⠃⠎	⣣⠾
右	⠠⠉⠷	⠱⢨
宇	⠠⠉⠉	⠥⢊
羽	⠠⠉⠥	⣳⠌
雨	⠠⠉⠁	⡧⠊
臼		⢁⡚
渦	⠢⠴⠉	⡇⠤⢊
唄	⠨⠨⠚	⠷⠤⣨
浦	⠰⠮⠉	⡇⣜
運	⠸⠉⠥	⣃⣺
雲	⠸⠉⠩	⡧⠞
餌		⢷⠞
営	⠨⠋⠃	⣁⣮
影	⠨⠋⠡	⣳⠚
映	⠨⠋⠉	⣳⠜
栄	⠨⠋⠱	⣁⢎
永	⠨⠋⠅	⢱⠘
泳	⠨⠋⠊	⡇⠘
英	⠨⠋⠩	⢓⠜
衛	⠨⠋⠎	⣑⠞
詠	⠨⠋⠜	⡥⠘
鋭	⠨⠋⠹	⢃⠬
液	⠲⠋⠱	⡇⡊
疫	⠲⠋⠔	⡑⡜
益	⠲⠋⠑	⠧⢌
駅	⠲⠋⠉	⢵⡪
悦	⠢⠋⠓	⠳⠬
謁	⠢⠋⠅	⠗⢸
越	⠢⠋⠪	⣃⣎
閲	⠢⠋⠡	⣵⠬
円	⠸⠋⠵	⠗⣨
園	⠸⠋⠺	⣥⠞
宴	⠸⠋⠉	⠥⣌
延	⠸⠋⠎	⣃⠊
怨	⠸⠋⠪	⢣⢬
援	⠸⠋⠋	⡷⢘
沿	⠠⠋⠺	⡇⠞
演	⠸⠋⠱	⢱⠞
炎	⠸⠋⠮	⣱⣸
