一	일
丁	정
七	칠
万	만
丈	장
三	삼
上	상
下	하
不	부,불
与	여
丐	개
丑	추,축
丒	축
且	차
丕	비
世	세
丗	세
丘	구
丙	병
丞	승
両	량
並	병
丨	곤
个	개
中	중
丱	관
串	곶,관,천
丶	주
丸	환
丹	단,란
主	주
丼	정
丿	별
乂	예
乃	내
久	구
乇	탁
之	지
乍	사
乎	호
乏	핍
乕	호
乖	괴
乗	승
乘	승
乙	을
乚	은
九	구
乞	걸,기
也	야
乢	개
乱	란
乳	유
乾	간,건
亀	구
亂	난,란
亅	궐
了	료,요
予	여
争	쟁
亊	사
事	사
二	이
于	우
云	운
互	호
五	오
井	정
亘	긍,선
亙	긍
些	사
亜	아
亞	아
亟	극
亠	두
亡	망
亢	항
交	교
亥	해
亦	역
亨	형
享	향
京	경
亭	정
亮	량,양
亰	경
亲	친
亳	박
亶	단
人	인
什	십,집
仁	인
仂	륵
仄	측
仆	복,부
仇	구
今	금
介	개
仍	잉
从	종
仏	불
仐	산
仔	자
仕	사
他	타
仗	장
付	부
仙	선
仞	인
仟	천
代	대
令	령,영
以	이
仭	인
仮	가,반
仰	앙
仲	중
件	건
价	가,개
任	임
企	기
伉	항
伊	이
伍	오
伎	기
伏	복
伐	벌
休	휴
会	회
伜	쉬
伝	전
伯	백
估	고
伴	반
伶	령
伸	신
伺	사
似	사
伽	가
佃	전
但	단
佇	저
位	위
低	저
住	주
佐	좌
佑	우
体	분,체
何	하
佗	타
余	여
佚	일,질
佛	불
作	작
佝	구,후
佞	녕
佩	패
佯	양
佰	백
佳	가
併	병
佶	길
佻	조
佼	교
使	사
侃	간
來	내,래
侈	치
例	례,예
侍	시
侏	주
侑	유
侖	륜
侘	차
供	공
依	의
侠	협
価	가
侫	녕
侭	진
侮	모
侯	후
侵	침
侶	려
便	변,편
俁	우
係	계
促	촉
俄	아
俊	준
俎	조
俐	리
俑	용
俔	견,현
俗	속
俘	부
俚	리
俛	면,부
保	보
俞	유
俟	사
俠	협
信	신
俣	오,우
俤	제
俥	거
修	수
俯	부
俱	구
俳	배
俵	표
俶	숙,척
俸	봉
俺	암,엄
俾	비
倂	병
倅	쉬,졸
倆	량
倉	창
個	개
倍	배
倏	숙
們	문
倒	도
倔	굴
倖	행
候	후
倚	의
借	차
倡	창
倣	방
値	치
倥	공
倦	권
倨	거
倩	천,청
倪	예
倫	륜,윤
倬	탁
倭	왜,위
倶	구
倹	검
倻	야
偃	언
假	가
偈	걸,게
偉	위
偏	편
偐	안
偑	풍
偕	해
偖	차
做	주
停	정
健	건
偬	총
偲	시
側	측
偵	정
偶	우
偸	투
偽	위
傀	괴
傅	부
傍	방
傑	걸
傘	산
備	비
傚	효
催	최
傭	용
傲	오
傳	전
傴	구
債	채
傷	상
傾	경
僂	루
僅	근
僉	첨
僊	선
働	동
像	상
僑	교
僕	복
僖	희
僚	료,요
僞	위
僣	참
僥	요
僧	승
僭	참
僮	동
僲	선
僵	강
價	가
僻	벽
儀	의
儁	준
儂	농
億	억
儉	검
儒	유
儔	주
儕	제
儖	람
儘	진
儚	맹,몽
償	상
儡	뢰
優	우
儲	저
儷	려
儺	나
儻	당
儼	엄
儿	인
兀	올
允	윤
元	원
兄	형
充	충
兆	조
兇	흉
先	선
