会	今,令,合
令	今,会,合
今	令,会,合
合	今,令,会
沿	治,冶,浴
冶	沿,治,浴
治	冶,沿,浴
浴	治,冶,沿
朱	矢,失,先
矢	失,朱,先
失	朱,矢,先
先	失,朱,矢
内	肉,丙
東	束,乗,垂
垂	東,束,乗
入	八,人
同	何,伺
伺	同,何
八	人,入
人	入,八
肉	丙,内
刃	力,刀
力	刀,刃
刀	刃,力
慕	幕,募
巣	草,単
何	伺,同
衰	衷,哀
末	未,夫
学	宇,字
老	考,孝
李	秀,季
宇	字,学
字	学,宇
幸	辛,宰
鳥	烏,島
草	単,巣
巳	已,己
己	巳,已
已	己,巳
募	慕,幕
辛	宰,幸
幕	募,慕
晋	普,昔
著	着,春
普	昔,晋
昔	晋,普
夫	末,未
未	夫,末
秀	季,李
林	村,材
材	林,村
乗	東,束,垂
束	乗,東,垂
村	材,林
粟	票,栗
氷	永,水
永	水,氷
水	氷,永
島	鳥,烏
由	甲,田,申
甲	田,由,申
田	由,甲,申
申	田,由,甲
春	著,着
栗	粟,票
季	李,秀
票	栗,粟
縁	録,緑
録	緑,縁
考	孝,老
孝	老,考
丙	内,肉
単	巣,草
着	春,著
運	連,蓮
衷	哀,衰
哀	衰,衷
計	討,訂
討	訂,計
訂	計,討
宰	幸,辛
遅	送,迷
蓮	運,連
送	迷,遅
迷	送,遅
連	蓮,運
緑	縁,録
烏	島,鳥
体	休,本
休	体,本
本	休,体
待	侍,持
持	待,侍
侍	待,持
方	万
旦	且
子	了
矛	予
亭	享
享	亭
伐	代
代	伐
往	住
金	余
便	使
候	侯
使	便
到	倒
侯	候
検	倹
象	像
義	儀,犠
犠	義,儀
営	党
昌	冒
涼	凍
区	凶
功	切
倒	到
勅	刺
切	功
刺	勅
四	匹
凶	区
干	千,午,牛
牛	干,千,午
千	干,午,牛
午	千,干,牛
卵	卯
卯	卵
源	原
反	友
友	反
愛	受
吏	史
名	各
各	名
史	吏
吹	吸
吸	吹
昧	味
間	問
党	営
匹	四
困	因
因	困
司	可
可	司
士	土
庄	圧
理	埋
域	城
城	域
墓	基
掘	堀
推	堆
提	堤
搭	塔
基	墓
璧	壁
土	士
絡	終
終	絡
夜	夕
夕	夜
太	大,犬
大	太,犬
犬	大,太
寄	奇
秦	奏
了	子
宮	官
足	定
宣	宜
宜	宣
窒	室
官	宮
奇	寄
祭	察
少	小
小	少
室	窒
臣	巨
布	市
市	布
師	帥
帥	師
度	席
常	帯
帯	常
圧	庄
席	度
廷	延
延	廷
住	往
徴	微
微	徴
撤	徹
患	忠
恩	思
窓	恋
思	恩
忠	患
感	惑
受	愛
惑	感
毛	手
抽	押
押	抽
招	拐
拐	招
捨	拾
狭	挟
拾	捨
堀	掘
堆	推
猫	描
堤	提
塔	搭
徹	撤
販	敗
斎	斉
斉	斎
科	料
万	方
族	旅
旅	族
且	旦
冒	昌
味	昧
署	暑
雲	曇
賛	替
礼	札
粋	枠
裁	栽
倹	検
横	構
構	横
手	毛
民	氏
氏	民
浩	活
活	浩
凍	涼
原	源
適	滴
挟	狭
描	猫
埋	理
壁	璧
習	留
血	皿
眉	盾
盾	眉
眼	眠
眠	眼
予	矛
礁	確
確	礁
札	礼
袖	神
察	祭
料	科
奏	秦
恋	窓
童	章
章	童
薄	簿
紛	粉
枠	粋
粉	紛
網	綱
綱	網
暑	署
儀	義,犠
留	習
巨	臣
苦	若
若	苦
簿	薄
皿	血
衡	衝
衝	衡
麦	表
神	袖
栽	裁
貝	見
像	象
見	貝
負	貞
貞	負
貪	貧
貸	貨
敗	販
貧	貪
貨	貸
替	賛
定	足
近	辺
辺	近
遂	逐
逐	遂
遺	遣
滴	適
遣	遺
余	金
鍋	銅
銅	鍋
問	間
曇	雲
電	雷
雷	電
項	頂
頂	項
表	麦
石	右
右	石
古	早
早	古
半	羊,平
羊	半,平
平	羊,半
丈	才
才	丈
丹	凡,舟
舟	丹,凡
凡	丹,舟
仏	払,私
私	仏,払
払	仏,私
伎	技
技	伎
俸	棒
棒	俸
傘	卒,率
率	傘,卒
卒	傘,率
僕	撲
撲	僕
充	去
去	充
光	米
米	光
免	色
色	免
公	分
分	公
具	真
真	具
刑	列
列	刑
攻	功
勇	男
男	勇
博	専
専	博
危	厄
厄	危
厘	里
里	厘
又	文
文	又
双	対
対	双
句	旬
旬	句
吟	含
含	吟
呉	県
県	呉
唐	康
康	唐
善	普
堂	常
塾	熟,熱
熱	塾,熟
熟	塾,熱
壮	状
状	壮
売	帝
帝	売
変	恋
奈	宗
宗	奈
奉	奏
奪	奮
奮	奪
嫡	敵
敵	嫡
履	覆
覆	履
弟	第
第	弟
復	複
複	復
快	決
決	快
戻	房
房	戻
折	析
析	折
捕	補
補	捕
探	深
深	探
控	搾
搾	控
摩	磨
磨	摩
新	親
親	新
暦	歴
歴	暦
枚	株
株	枚
栄	采
采	栄
業	美
美	業
止	正
正	止
漠	漢
漢	漠
無	焦,蕪
焦	無,蕪
蕪	無,焦
然	黙
黙	然
玄	系
系	玄
発	登
登	発
社	祈
祈	社
祖	租
租	祖
究	空
空	究
精	績
績	精
素	索
索	素
経	絡
結	緒
緒	結
給	絵
絵	給
統	続
続	統
鋼	綱
職	識
識	職
肯	背
背	肯
般	船
船	般
覧	賢
賢	覧
角	負
誌	認
認	誌
責	青
青	責
貿	貸
輪	輸
輸	輪
追	過
過	追
通	週
週	通
郎	限
限	郎
開	関
関	開
降	隆
隆	降
隻	集
集	隻
雄	雌
雌	雄
需	雲
幻	幼
幼	幻
画	面
面	画
