一	イチ(2), イツ(2)
丁	チョウ(27), テイ(24)
七	シチ(2)
万	バン(8), マン(4)
丈	ジョウ(24)
三	サン(12)
上	ショウ(66), ジョウ(24)
下	カ(32), ゲ(5)
不	フ(25), ブ(9)
与	ヨ(5)
世	セイ(35), セ(2)
丘	キュウ(22)
丙	ヘイ(14)
両	リョウ(16)
並	ヘイ(14)
中	チュウ(14), ジュウ(13)
丸	ガン(10)
丹	タン(16)
主	シュ(15), ス(6)
久	キュウ(22), ク(14)
乏	ボウ(23)
乗	ジョウ(24)
乙	オツ(1)
九	キュウ(22), ク(14)
乱	ラン(6)
乳	ニュウ(3)
乾	カン(46)
亀	キ(39)
了	リョウ(16)
予	ヨ(5)
争	ソウ(39)
事	ジ(22), ズ(4)
二	ニ(5)
互	ゴ(13)
五	ゴ(13)
井	ショウ(66), セイ(35)
亜	ア(1)
亡	ボウ(23), モウ(8)
交	コウ(67)
享	キョウ(30)
京	ケイ(32), キョウ(30)
亭	テイ(24)
人	ジン(11), ニン(5)
仁	ジン(11), ニ(5)
今	キン(16), コン(15)
介	カイ(25)
仏	ブツ(2)
仕	シ(50), ジ(22)
他	タ(4)
付	フ(25)
仙	セン(30)
代	タイ(22), ダイ(7)
令	レイ(12)
以	イ(26)
仮	カ(32), ケ(6)
仰	コウ(67), ギョウ(6)
仲	チュウ(14)
件	ケン(32)
任	ニン(5)
企	キ(39)
伎	キ(39)
伏	フク(9)
伐	バツ(5)
休	キュウ(22)
会	カイ(25), エ(5)
伝	デン(4)
伯	ハク(9)
伴	ハン(25), バン(8)
伸	シン(30)
伺	シ(50)
似	ジ(22)
位	イ(26)
低	テイ(24)
住	ジュウ(13)
佐	サ(12)
体	テイ(24), タイ(22)
何	カ(32)
余	ヨ(5)
作	サ(12), サク(10)
佳	カ(32)
併	ヘイ(14)
使	シ(50)
例	レイ(12)
侍	ジ(22)
供	キョウ(30), ク(14)
依	イ(26), エ(5)
価	カ(32)
侮	ブ(9)
侯	コウ(67)
侵	シン(30)
侶	リョ(4)
便	ビン(4), ベン(3)
係	ケイ(32)
促	ソク(11)
俊	シュン(4)
俗	ゾク(5)
保	ホ(6)
信	シン(30)
修	シュウ(26), シュ(15)
俳	ハイ(10)
俵	ヒョウ(9)
俸	ホウ(24)
倉	ソウ(39)
個	コ(22)
倍	バイ(8)
倒	トウ(41)
候	コウ(67)
借	シャク(8)
倣	ホウ(24)
値	チ(13)
倫	リン(7)
倹	ケン(32)
偉	イ(26)
偏	ヘン(7)
停	テイ(24)
健	ケン(32)
側	ソク(11)
偵	テイ(24)
偶	グウ(4)
偽	ギ(11)
傍	ボウ(23)
傑	ケツ(7)
傘	サン(12)
備	ビ(6)
催	サイ(27)
傲	ゴウ(9)
債	サイ(27)
傷	ショウ(66)
傾	ケイ(32)
僅	キン(16)
働	ドウ(11)
像	ゾウ(9)
僕	ボク(8)
僚	リョウ(16)
僧	ソウ(39)
儀	ギ(11)
億	オク(4)
儒	ジュ(9)
償	ショウ(66)
優	ユウ(17)
元	ゲン(15), ガン(10)
兄	ケイ(32), キョウ(30)
充	ジュウ(13)
兆	チョウ(27)
先	セン(30)
光	コウ(67)
克	コク(9)
免	メン(4)
児	ジ(22), ニ(5)
党	トウ(41)
入	ニュウ(3)
全	ゼン(8)
八	ハチ(2)
公	コウ(67)
六	ロク(4)
共	キョウ(30)
兵	ヘイ(14), ヒョウ(9)
具	グ(3)
典	テン(9)
兼	ケン(32)
内	ダイ(7), ナイ(1)
円	エン(17)
冊	サク(10), サツ(9)
再	サイ(27), サ(12)
冒	ボウ(23)
冗	ジョウ(24)
写	シャ(13)
冠	カン(46)
冥	メイ(8), ミョウ(5)
冬	トウ(41)
冶	ヤ(3)
冷	レイ(12)
凄	セイ(35)
准	ジュン(11)
凍	トウ(41)
