握	把
悪	醜,粗,憎
圧	押
暗	陰,闇,冥
闇	陰,暗,冥
囲	抱
威	畏,恐
為	作,造
畏	恐,威
異	差
維	綱
衣	服
遺	贈
一	壱
壱	一
陰	暗,闇
浦	浜
運	輸
餌	食
影	映
映	影
栄	盛,繁,華
永	久
衛	守
益	増
越	超
延	伸
怨	恨
沿	循
縁	端,辺
往	行
押	圧
王	皇
温	暖
音	声
下	低
佳	良,善
嫁	妻
寡	孤,少
果	菓
歌	謡,唱
河	川,江
火	焼,燃
禍	災,凶
箇	個
苛	酷
荷	担
華	栄
菓	果
貨	銭
我	朕
画	絵,描,図,書
会	遭
回	番
壊	毀,崩
戒	警
改	革,更
絵	画,描,図
涯	限
蓋	覆
嚇	喝
各	毎
拡	広
獲	虜,奴
覚	悟,醒
革	改,更
喝	嚇
活	生
寒	冷,凍
喚	呼
完	全
官	司
慣	習
甘	旨
監	視
緩	徐
貫	徹
還	返,復,帰
丸	球
願	欲
喜	好,興
基	本
忌	嫌
棋	碁
棄	捨
帰	還,復
規	則
貴	尊
輝	美
偽	詐
儀	礼
欺	詐
吉	福
脚	足
虐	残,酷
久	永
朽	腐
球	丸
旧	古,故,昔
巨	大
虚	空,無
凶	禍,災
強	剛,豪
恐	威,虞
興	喜
業	職
曲	屈
極	棟
勤	労
労	勤
具	備
虞	恐
空	虚,無
屈	曲
掘	堀,窟
窟	洞,穴,孔,堀,掘
形	模
慶	福
継	続
警	戒
穴	孔,窟
券	票,標
剣	刀
嫌	忌
建	立
憲	法
研	磨,摩
見	視,覧
遣	発
顕	現
験	検
検	験
元	本,源
減	少,損
源	本,元
現	顕
言	語,申
申	言
限	涯
個	箇
古	旧,故,昔
呼	喚
孤	寡,少,独,唯
庫	蔵,倉
戸	門,扉
故	旧,古,昔
午	昼
悟	覚,醒
碁	棋
語	言,話,談
乞	請
五	伍
伍	五
功	績
后	妃
好	喜
孔	穴,窟
広	拡
恒	常
控	抑
更	改,革
校	較
較	校
江	川,河
皇	王
紅	朱,赤
綱	維,索,縄
行	往,進,歩,参,伺,上
降	落
剛	強,豪
豪	剛,強
合	集
国	域,邦
域	国
酷	虐,残,苛
恨	怨
根	本
差	異
査	調,捜,索
沙	砂
砂	沙
詐	欺,偽
催	促
再	復
塞	窒
妻	嫁
宰	制
採	采,摘
栽	培
歳	年
災	禍,凶
采	採,摘
細	小
在	存
材	樹,木
財	資
坂	堤,斜
崎	岬,峡
作	為,造
索	査,調,捜,縄,綱,求,探
求	索,買
皿	盤
三	参
参	三,来,行,伺
来	参
産	生
算	数
酸	酢
斬	絶
残	虐,酷
司	官,主,曹
四	肆
肆	四
子	孫,児
市	都
支	枝,派
旨	甘
枝	支
祉	福
糸	条,線
脂	油
至	到
視	監,見
詞	文
文	詞
資	財
似	如
児	子,稚,幼
持	執
識	知
執	持
疾	速,迅,早,病
写	謄,模
捨	棄,措
斜	坂
釈	解,説
解	釈,説
弱	柔
主	司
守	衛
朱	紅,赤
狩	猟
首	頭
樹	材,木
需	須
収	納
愁	憂
終	了
習	慣
臭	嗅
舟	船
集	合
醜	悪,粗
充	満
従	随,順
柔	弱,軟
縮	短
准	準
循	沿
準	准
純	粋
遵	順
順	遵
暑	熱
書	図,画
徐	緩
傷	瘍
唱	歌,謡
宵	夕
小	細,少
少	寡,孤,希,小
希	少
昇	登
昭	明
焼	燃,火
粧	装
賞	賜
賜	賞,頂
上	登,乗,行,与,献,参,伺
献	上,与
乗	登,上
場	地
嬢	娘
常	恒
条	糸
浄	清
職	業
食	餌,頂
辱	恥,羞
伸	延
新	鮮
森	林
深	遠
遠	深
親	戚
辛	辣
進	行,歩,踏,走
人	仁,民
仁	人
尋	探,伺,聞,問
甚	太
尽	究
究	尽
迅	速,疾,早
陣	陳
須	需
酢	酸
図	画,書
睡	眠
粋	純
随	従
数	算
制	宰
晴	陽
清	浄
生	活,産
盛	栄,繁,隆
声	音
製	造
誓	盟
請	乞
醒	覚,悟
税	租
戚	親
斥	排
昔	古,故,旧
積	累
績	功
脊	呂
赤	朱,紅
接	摩,磨
窃	賊,盗,奪
説	釈,解
絶	斬,断
先	前
千	移
移	千
川	河,江
戦	闘
洗	濯
旋	転,復
線	糸
船	舟
選	択
銭	貨
鮮	新
前	先
善	美,良,佳
全	完
措	置,捨
租	税
粗	悪,醜
組	班
双	両
倉	庫,蔵
壮	勇
捜	査,調,索,探
早	速,疾,迅
曹	司,輩
装	粧
走	奔,歩,進
遭	会
増	益
憎	悪
蔵	庫,倉
贈	遺
造	製,作,為
促	催
則	規
捉	捕,虜
束	縛
測	計
計	測
足	脚
速	疾,迅,早
俗	凡
賊	窃,奪
続	継
存	在,知,思
孫	子
尊	貴
損	減,少
太	甚,大
惰	怠,慢
耐	忍
怠	惰,慢
替	代
滞	留
代	替
大	巨,太
択	選
濯	洗
奪	窃,賊,盗
棚	台
台	棚
単	独
担	負,荷
探	尋,捜,索
旦	朝
短	縮
端	縁,辺,末
断	絶
暖	温
談	話,語
知	識,存
地	場
恥	辱,羞
稚	幼,児
置	措
逐	追
窒	塞
中	内
昼	午
鋳	冶
朝	旦
調	査,捜,索
超	越
朕	我
陳	陣
追	逐
通	透
低	下
堤	坂
摘	採,采
徹	貫
転	旋
登	昇,上,乗
都	市
奴	虜,獲
怒	奮
凍	寒,冷
刀	剣
棟	極
盗	窃,奪
答	応
応	答
到	至
討	伐
謄	写
踏	進
透	通
陶	冶
頭	首
闘	戦
洞	窟
道	路
路	道
独	単,唯,孤,寡
内	中
縄	索,綱
軟	柔
二	弐,両
弐	二,両
如	似
忍	耐
熱	暑
年	歳
燃	焼,火
納	収
把	握,柄
派	支
破	敗
排	斥
敗	破
輩	曹
培	栽
陪	伴,副
縛	束
発	遣
髪	毛
伐	討
伴	陪
搬	般
板	版
氾	汎,凡
汎	氾,凡
版	板
班	組
畔	辺
繁	栄,盛
般	搬
晩	暮,夕
番	回
盤	皿
妃	后
扉	戸,門
秘	密
備	具
美	輝,善
肘	腕
標	票,券
票	標,券
描	絵,画
病	疾
浜	浦
付	附
富	裕
布	敷
敷	布
腐	朽
負	担,荷
附	付
副	陪
復	還,返,旋,帰,再
服	衣
福	吉,慶,祉
覆	蓋
分	別
奮	怒
柄	把
拾	十
十	拾
別	分
辺	縁,端,畔
返	還,復,旋
保	宝
捕	捉,虜
歩	行,進,走
暮	晩,夕
宝	保
崩	壊
抱	囲
法	憲,律,則
邦	国
堀	掘,窟
奔	走
本	基,源,根,元
凡	汎,氾,俗,庸
摩	磨,接,研
磨	摩,接,研
枚	葉
毎	各
末	端
慢	惰,怠
満	充
岬	崎,峡
峡	岬,崎
密	秘
民	人
眠	睡
無	空,虚
娘	嬢
冥	暗,闇
明	昭,朗
盟	誓
模	形,写,謄
毛	髪
猛	勇
木	材,樹
門	戸,扉
冶	陶,鋳
薬	療
油	脂
癒	滋
滋	癒
輸	運
唯	独,孤,寡
勇	猛,壮
憂	愁
裕	富
融	溶
夕	暮,晩,宵
幼	稚,児
庸	凡
溶	融
葉	枚
謡	歌,唱
陽	晴
抑	控
欲	願
落	降
陸	六
漆	七
七	漆
六	陸
律	法,則
立	建
留	滞
隆	盛
虜	捉,捕,獲,奴
了	終
両	二,弐,双
涼	冷
猟	狩
療	薬
良	佳,善
林	森
累	積
冷	寒,凍,涼
礼	儀
練	錬
錬	練
呂	脊
朗	明
話	談,語
腕	肘
嗅	臭
毀	壊
瘍	傷
羞	恥,辱
辣	辛
寝	休
休	寝
覧	見
頂	食,飲,賜
飲	頂
訪	伺
伺	訪,尋,問,聞,参,行,承
問	伺,尋,聞
聞	問,伺,尋,承
承	聞,伺
買	求
思	存
亡	死
死	亡
着	召
召	着
与	上,献
煮	茹
茹	煮
勅	詔
詔	勅
喧	嘩
嘩	喧
家	屋
屋	家
肝	胆
胆	肝
