Official:
お巡りさん	おまわりさん	policeman
お神酒	おみき	sacred sake
父さん	とうさん	father
母さん	かあさん	mother
兄さん	にいさん	elder brother
姉さん	ねえさん	elder sister
一人	ひとり	one person
一日	ついたち	first day
二人	ふたり	two persons
二日	ふつか	second day
二十	はた、はたち	twenty
二十日	はつか	twentieth day
二十歳	はたち	20 years
三味線	しゃみせん	shamisen
五月	さつき	fifth month of the lunar calendar
五月雨	さみだれ	early Summer rain
七夕	たなばた	Festival of the Weaver (July 7th)
八百屋	やおや	greengrocer
八百長	やおちょう	fixed fight
十重二十重	とえはたえ	ten and twenty fold
上手	じょうず	skillfullness
下手	へた	unskillfullness
乙女	おとめ	maiden
乳母	うば、おんば	nursing mother
今年	ことし	this year
今日	きょう	today
今朝	けさ	this morning
仲人	なこうど	go-between
伝馬船	てんません	barge
伯母	おば	aunt
伯父	おじ	uncle
凸凹	でこぼこ	unevenness
博士	はかせ	doctor, expert, learned person
友達	ともだち	friend
叔母	おば	aunt
叔父	おじ	uncle
名残	なごり	(sorrow of) parting, traces, remains
吹雪	ふぶき	snowslide
土産	みやげ	souvenir
大人	おとな	adult
大和	やまと	Japan
太刀	たち	sword
寄席	よせ	variety house (sim. to music-hall, vaudeville)
小豆	あずき	red bean
山車	だし	float
差し支える	さしつかえる	to have trouble
師走	しわす、しはす	twelfth month of the lunar calendar
弥生	やよい	third month of the lunar calendar
心地	ここち	feeling
息吹	いぶき	breath
息子	むすこ	son
意気地	いくじ	spirit
手伝う	てつだう	help with
投網	とあみ	cast net
数珠	じゅず	rosary
日和	ひより	weather
早乙女	さおとめ	rice-planting girl
早苗	さなえ	rice sprouts
明日	あす、あした	tomorrow
昨日	きのう	yesterday
時計	とけい	clock
時雨	しぐれ	drizzling rain in early Winter
景色	けしき	scene
最寄り	もより	the nearest
木綿	もめん	cotton
果物	くだもの	fruit
桟敷	さじき	gallery
梅雨	つゆ	rainy season
母屋	おもや	main house
母家	おもや	main house
河原	かわら	dry riverbed
川原	かわら	dry riverbed
河岸	かし	riverside
浮つく	うわつく	be flippant
浮気	うわき	inconstancy
浴衣	ゆかた	Summer kimono
海原	うなばら	the wide sea
海女	あま	woman diver (collecting pearls, shellfish, etc.)
海士	あま	male diver, fisherman
清水	しみず	clear water
為替	かわせ	exchange
猛者	もさ	stalwart man
玄人	くろうと	expert
田舎	いなか	the country
白髪	しらが	white hair
相撲	すもう	sumo
真っ赤	まっか	deep red
真っ青	まっさお	deep blue
眼鏡	めがね	glasses
砂利	じゃり	gravel
硫黄	のりと	sulphur
祝詞	のりと	Shinto prayer
神楽	かぐら	kagura, Shinto music and dance
稚児	ちご	child in a festival procession
立ち退く	たちのく	move out
竹刀	しない	bamboo sword
築山	つきやま	miniature hill in a garden
紅葉	もみじ	maple, autumn colours
素人	しろうと	amateur
老舗	しにせ	old shop
芝生	しばふ	lawn
若人	わこうど	youth
草履	ぞうり	sandals
蚊帳	かや	mosquito net
行方	ゆくえ	whereabouts
読経	どきょう	sutra chanting
足袋	たび	tabi, Japanese socks
迷子	まいご	lost child
部屋	へや	room
野良	のら	farm
鍛冶	かじ	blacksmith
雑魚	ざこ	small fish
雪崩	なだれ	avalanche
風邪	かぜ	cold (illness)
固唾	かたず	hold one's breath, with bated breath
尻尾	しっぽ	tail
居士	こじ	a Buddhist layman, a person's posthumous Buddhist name
数寄屋	すきや	teahouse, tea ceremony arbour
数奇屋	すきや	teahouse, tea ceremony arbour
波止場	はとば	wharf, pier
真面目	まじめ	serious, earnest
笑顔	えがお	a smiling face, a smile
仮名	かな	kana, Japanese syllabary (e.g. hiragana, katakana)

Unofficial:
日本	にほん	Japan
日本語	にほんご	Japanese (language)
日本酒	にほんしゅ	sake, Japanese rice wine
日本人	にほんじん	Japanese person, Japanese people
一寸	ちょっと	one sun (approximately 3.03 cm)
一昨年	おととし	1 year ago
一昨日	おととい、おとつい	1 day ago
一昨昨日	さきおととい	3 days ago
七五三	しめ	(shinto) rope used to cordon off consecrated areas or as a talisman against evil
三十路	みそじ	men and women in their 30s
上手い	うま（い）	skillful, clever, expert, wise, successful
不味い	まず（い）	unpleasant
九十九	つくも	many
五十	い	fifty
五十日	いか	fiftieth day
五月晴れ	さつきばれ	fine weather during the rainy season
亡骸	なきがら	remains, corpse, (dead) body
