All kanji of top 50 surnames:
藤, 田, 三, 上, 下, 口, 小, 大, 山, 川, 中, 井, 太, 木, 水, 加, 本, 石, 辺, 伊, 吉, 池, 西, 佐, 坂, 村, 谷, 近, 岡, 松, 林, 長, 阿, 青, 前, 後, 原, 島, 浦, 高, 崎, 斎, 清, 部, 野, 森, 渡, 福, 遠, 鈴, 橋

Top 50 surnames with above kanji:
佐藤	さとう	Satō
鈴木	すずき	Suzuki
高橋	たかはし	Takahashi
田中	たなか	Tanaka
渡辺	わたなべ	Watanabe
伊藤	いとう	Itō
山本	やまもと	Yamamoto
中村	なかむら	Nakamura
小林	こばやし	Kobayashi
斎藤	さいとう	Saitō
加藤	かとう	Katō
吉田	よしだ	Yoshida
山田	やまだ	Yamada
佐々木	ささき	Sasaki
山口	やまぐち	Yamaguchi
松本	まつもと	Matsumoto
井上	いのうえ	Inoue
木村	きむら	Kimura
林	はやし	Hayashi
清水	しみず	Shimizu
山崎	やまざき/やまさき	Yamazaki/Yamasaki
森	もり	Mori
阿部	あべ	Abe
池田	いけだ	Ikeda
橋本	はしもと	Hashimoto
山下	やました	Yamashita
石川	いしかわ	Ishikawa
中島	なかじま/なかしま	Nakajima/Nakashima
前田	まえだ	Maeda
藤田	ふじた	Fujita
小川	おがわ	Ogawa
岡田	おかだ	Okada
後藤	ごとう	Gotō
長谷川	はせがわ	Hasegawa
村上	むらかみ	Murakami
近藤	こんどう	Kondō
石井	いしい	Ishii
坂本	さかもと	Sakamoto
遠藤	えんどう	Endō
青木	あおき	Aoki
藤井	ふじい	Fujii
西村	にしむら	Nishimura
福田	ふくだ	Fukuda
太田	おおた	Ōta
三浦	みうら	Miura
藤原	ふじわら	Fujiwara
岡本	おかもと	Okamoto
松田	まつだ	Matsuda
中川	なかがわ	Nakagawa
中野	なかの	Nakano

Other surnames with above kanji (top 51-200):
小野	おの	Ono
田村	たむら	Tamura
中山	なかやま	Nakayama
石田	いしだ	Ishida
上田	うえだ	Ueda
森田	もりた	Morita
高木	たかぎ	Takagi
大野	おおの	Ōno
高田	たかだ	Takada
藤本	ふじもと	Fujimoto
小島	こじま	Kojima
村田	むらた	Murata
上野	うえの	Ueno
小山	こやま	Koyama
松井	まつい	Matsui
木下	きのした	Kinoshita
野口	のぐち	Noguchi
野村	のむら	Nomura
大西	おおにし	Ōnishi
小松	こまつ	Komatsu
島田	しまだ	Shimada
高野	たかの	Takano
西田	にしだ	Nishida
西川	にしかわ	Nishikawa
福島	ふくしま	Fukushima
川口	かわぐち	Kawaguchi
川崎	かわさき	Kawasaki
中西	なかにし	Nakanishi
大島	おおしま	Ōshima
西山	にしやま	Nishiyama
川島	かわしま	Kawashima
小西	こにし	Konishi
